Show, Episode, Time Added, Language
Smoking (2018),EP 12,11/30/2018,SUB
Days We Stared at the Sun,EP 5,11/30/2018,SUB
iPartment,EP 4,11/30/2018,SUB
When Time Stops,EP 12,11/29/2018,SUB
Room Laundering,EP 4,11/28/2018,RAW
My Moochy Boyfriend (Himomen),EP 7,11/28/2018,SUB
Matrimonial Chaos,EP 16,11/27/2018,SUB
Bad Papa,EP 16,11/27/2018,SUB
The Mother Said,EP 76,11/27/2018,RAW
Love in Hanyuan,EP 46,11/26/2018,SUB
Where Stars Land,EP 16,11/26/2018,SUB
Room No. 9,EP 16,11/25/2018,SUB
Ms Ma  Nemesis,EP 16,11/24/2018,SUB
Girl from Nowhere- The Series,EP 13,11/24/2018,SUB
Room Laundering,EP 3,11/23/2018,SUB
All Out of Love,EP 70,11/23/2018,SUB
I-m a Mother too,EP 124,11/23/2018,SUB
The Smile Has Left Your Eyes,EP 16,11/22/2018,SUB
Top Management,EP 16,11/22/2018,SUB
Letting You Float Like A Dream-,EP 40,11/20/2018,SUB
The Beauty Inside (Korean Drama),EP 16,11/20/2018,SUB
The Prayer,EP 11,11/19/2018,RAW
If Paris Downcast,EP 48,11/19/2018,SUB
Hide and Seek,EP 24,11/17/2018,SUB
The Third Charm,EP 16,11/17/2018,SUB
Three Hundred Cases,EP 20,11/17/2018,RAW
 Life on the Line,EP 25,11/17/2018,SUB
The Elfin-s Golden Castle,EP 32,11/17/2018,RAW
TOP,EP 24,11/17/2018,RAW
Be Careful Delicacy,EP 12,11/17/2018,RAW
The City of Chaos,EP 24,11/17/2018,RAW
SPEED (2018),EP 36,11/17/2018,RAW
Oh My Ghost 2018,EP 16,11/16/2018,SUB
Two Lives One Heart,EP 16,11/15/2018,SUB
Terius Behind Me,EP 16,11/15/2018,SUB
Dokgo Rewind,EP 4,11/15/2018,SUB
Love by Chance,EP 14,11/15/2018,SUB
Painting Heart Expert,EP 20,11/13/2018,SUB
Love - -,EP 17,11/11/2018,SUB
The Player (2018),EP 14,11/11/2018,SUB
Martial Universe,EP 60,11/7/2018,SUB
Mr. Swimmer,EP 46,11/7/2018,SUB
Bungaku Shojo,EP 8,11/6/2018,SUB
Burning Questions,EP 12,11/5/2018,SUB
Bakamentary,EP 9,11/5/2018,SUB
Sunny Again Tomorrow,EP 121,11/2/2018,SUB
Hand- The Guest,EP 16,11/1/2018,SUB
Accidentally in Love,EP 30,10/31/2018,SUB
The Ghost Detective,EP 16,10/31/2018,SUB
100 Days My Prince,EP 16,10/30/2018,SUB
Rebel Detectives s2,EP 18,10/29/2018,RAW
Let-s Shake It- s2,EP 26,10/29/2018,RAW
Kono Manga ga Sugoi-,EP 3,10/28/2018,RAW
Another Era,EP 35,10/28/2018,SUB
Devilish Joy,EP 16,10/27/2018,SUB
Comrade Kim Goes Flying,EP 1,10/27/2018,SUB
Fights Break Sphere,EP 45,10/26/2018,SUB
Love In Memory 2018,EP 11,10/25/2018,SUB
Ochanomizu Rock,EP 8,10/24/2018,SUB
The Best Meeting ,EP 40,10/23/2018,RAW
Dele,EP 8,10/22/2018,SUB
Shinhannin (Japanese Drama),EP 4,10/22/2018,SUB
Flower Ring,EP 26,10/22/2018,SUB
Giver- Revenge-s Giver,EP 12,10/21/2018,SUB
Ruyi-s Royal Love in the Palace,EP 87,10/19/2018,SUB
Doctor Car,EP 12,10/19/2018,SUB
Boku to Shippo to Kagurazaka Story,EP 1,10/18/2018,SUB
Kasouken no Onna SP 2018,EP 1,10/18/2018,RAW
#NAME?,EP 5,10/17/2018,SUB
Sweet Revenge S2,EP 32,10/17/2018,SUB
Mirai-san,EP 5,10/17/2018,SUB
Age of Rebellion,EP 15,10/15/2018,SUB
Hanamura Daisuke,EP 12,10/15/2018,SUB
The Rise of Phoenixes,EP 70,10/12/2018,SUB
Cold Heart,EP 13,10/12/2018,RAW
Look at the Sky and See the Cloud,EP 24,10/11/2018,RAW
Love Bipolar (2018),EP 4,10/11/2018,SUB
My Daddy Is an Idol,EP 10,10/11/2018,SUB
Dr. Qin Medical Examiner 3 - The Survivor,EP 30,10/10/2018,SUB
Tokyo Girl (2016),EP 11,10/9/2018,SUB
The Legend of DuGu,EP 55,10/8/2018,SUB
Game of Love,EP 14,10/8/2018,SUB
Konda Teru no Goho Reshipi,EP 10,10/7/2018,RAW
My Girl (2018),EP 20,10/7/2018,SUB
Rich Family-s Son,EP 100,10/7/2018,SUB
Survival Wedding,EP 10,10/7/2018,SUB
Sweet and Salty Office,EP 2,10/6/2018,RAW
Ashi Girl,EP 12,10/4/2018,SUB
Machi Koba no Onna,EP 7,10/4/2018,RAW
Koibumi Biyori,EP 10,10/3/2018,SUB
After The Rain,EP 2,10/3/2018,SUB
Chinese Partner,EP 38,10/3/2018,RAW
Lovely Horribly,EP 16,10/2/2018,SUB
The Black Company,EP 6,10/1/2018,RAW
Itsuka Kono Ame ga Yamu Hi made,EP 8,10/1/2018,RAW
Goodbye,EP 12,10/1/2018,RAW
Rike Koi,EP 4,10/1/2018,RAW
Mikaiketsu no Onna,EP 8,10/1/2018,SUB
Time (2018),EP 16,10/1/2018,SUB
Bluetick,EP 1,9/30/2018,RAW
Mr. Sunshine,EP 24,9/30/2018,SUB
 Let Me Introduce Her (2018) ,EP 20,9/29/2018,SUB
Tantei ga Hayasugiru,EP 10,9/26/2018,RAW
Gokudo Meshi (Japan Drama),EP 10,9/26/2018,RAW
Hito wa  Sando  Koi wo Suru (Dousousei),EP 7,9/26/2018,SUB
Takane no Hana,EP 10,9/25/2018,SUB
Mr. Nanny,EP 45,9/24/2018,RAW
Myth Of Sword,EP 56,9/24/2018,RAW
Risky Romance,EP 16,9/23/2018,SUB
Urban Legends,EP 2,9/22/2018,SUB
Gibo to Musume no Blues,EP 10,9/20/2018,SUB
 Your Honor (2018) ,EP 16,9/20/2018,SUB
Familiar Wife,EP 16,9/20/2018,SUB
Cheerdan,EP 10,9/19/2018,SUB
Good Doctor 2018,EP 10,9/19/2018,SUB
99.9 Keiji Senmon Bengoshi Season 2,EP 9,9/18/2018,SUB
Ping Pong Ball,EP 2,9/18/2018,SUB
Thirty But Seventeen,EP 16,9/18/2018,SUB
Parfait Tic,EP 10,9/17/2018,SUB
Shima no Sensei,EP 6,9/17/2018,SUB
The Animal Trail,EP 9,9/17/2018,SUB
Keiji 7-nin Season 4,EP 10,9/16/2018,RAW
Bloody Romance,EP 36,9/16/2018,SUB
Voice (Season 2),EP 12,9/16/2018,SUB
My ID Is Gangnam Beauty,EP 16,9/15/2018,SUB
My Huckleberry Friends (2017),EP 30,9/15/2018,SUB
Kaseifu no Mitazono S2,EP 8,9/13/2018,RAW
Hagetaka,EP 8,9/12/2018,RAW
Gossip High,EP 18,9/11/2018,RAW
Life (Korean Drama),EP 16,9/11/2018,SUB
Heavy Sweetness  Ash-like Frost,EP 63,9/10/2018,SUB
Maji de Koukaishitemasu S2,EP 6,9/9/2018,RAW
Shall We Live Together,EP 50,9/9/2018,SUB
The Stunt,EP 25,9/8/2018,SUB
Who Wants A Baby,EP 20,9/8/2018,SUB
Perfect Youth,EP 36,9/7/2018,RAW
Take My Brother Away,EP 30,9/6/2018,SUB
 Operation Moscow,EP 31,9/6/2018,SUB
Cinderella Chef,EP 56,9/5/2018,SUB
Befriend (2018),EP 24,9/4/2018,SUB
Switch of Fate,EP 46,9/1/2018,SUB
The Drug Hunter,EP 50,9/1/2018,RAW
Meteor Garden (2018),EP 49,8/31/2018,SUB
TV Novel - Waves  Waves,EP 143,8/31/2018,SUB
Witch-s Love,EP 12,8/30/2018,SUB
Terrace House Boys x Girls Next Door,EP 98,8/30/2018,SUB
Yakeni Ben no Tatsu Bengoshi ga Gakko de Hoeru,EP 4,8/29/2018,RAW
Tanabata Sayonara  Mata Itsuka,EP 2,8/29/2018,RAW
Buchou Kazehana Rinko no Koi,EP 2,8/29/2018,RAW
Boys Over Flowers Season 2  (Hana Nochi Hare- HanaDan),EP 11,8/29/2018,SUB
Your House Helper,EP 16,8/29/2018,SUB
Let-s Eat Season 3,EP 14,8/28/2018,SUB
Ossans- Love (Ossan zu Rabu),EP 7,8/28/2018,SUB
Kamen Rider Build,EP 49,8/26/2018,SUB
Madhouse,EP 24,8/24/2018,RAW
Just Want to See You Smile,EP 24,8/24/2018,SUB
The Evolution of Our Love,EP 40,8/23/2018,SUB
Suddenly  This Summer,EP 30,8/21/2018,SUB
Flesh and Spirit,EP 42,8/18/2018,RAW
Legend of Yun Xi,EP 48,8/16/2018,SUB
Anarhan,EP 22,8/15/2018,RAW
Sweet Combat,EP 37,8/15/2018,SUB
Between (Taiwan Drama),EP 18,8/13/2018,SUB
Kinpika,EP 5,8/13/2018,SUB
Legend of Fu Yao,EP 66,8/13/2018,SUB
The Taoism Grandmaster,EP 46,8/13/2018,SUB
My Story for You,EP 48,8/10/2018,SUB
The Ex-Man (2018),EP 13,8/10/2018,SUB
Medical Examiner Dr. Qin 2 Scavenger,EP 20,8/9/2018,RAW
Sotsugyo Bakamentari,EP 10,8/9/2018,RAW
Sotsugyo Bakamentari,EP 2,8/8/2018,SUB
Gakeppuchi Hotel- (Hotel on the Brink),EP 10,8/7/2018,SUB
Youth (2018),EP 26,8/7/2018,SUB
Are You Human Too?,EP 18,8/7/2018,SUB
Guardian,EP 40,8/7/2018,SUB
Ito-kun A to E,EP 8,8/5/2018,SUB
Twenties Once Again,EP 26,8/5/2018,RAW
Life on Mars,EP 16,8/5/2018,SUB
Goodbye to Goodbye,EP 40,8/4/2018,SUB
The King of Soldiers,EP 31,8/4/2018,RAW
Waiting For You In A Long Time,EP 12,8/4/2018,RAW
Genkai Danchi,EP 8,8/3/2018,SUB
Caught In The Heartbeat,EP 40,8/1/2018,RAW
Kakugo wa Iika Soko no Joshi,EP 5,7/30/2018,SUB
Sweet Dreams,EP 48,7/29/2018,SUB
What-s Wrong With Secretary Kim,EP 16,7/26/2018,SUB
Kiss Me Again,EP 14,7/26/2018,SUB
Nothing Gold Can Stay,EP 74,7/25/2018,SUB
The Dream Job,EP 30,7/24/2018,SUB
One And Another Him,EP 24,7/23/2018,RAW
Boku wa Mari no Naka (Inside Mari ),EP 8,7/20/2018,SUB
Final Life,EP 12,7/20/2018,SUB
The Crown Princess,EP 12,7/20/2018,SUB
Tokusou Robo Janperson,EP 26,7/20/2018,SUB
Mysterious Personal Shopper,EP 103,7/20/2018,SUB
Kenji Miyazawa-s Table (Miyazawa Kenji no Shokutaku ),EP 4,7/20/2018,SUB
Handsome Guy and Jung Eum,EP 32,7/19/2018,SUB
Come and Hug Me,EP 32,7/19/2018,SUB
Demon Catcher Zhong Kui,EP 55,7/19/2018,RAW
To.Jenny,EP 2,7/19/2018,SUB
Investigation Couple,EP 32,7/17/2018,SUB
Wok of Love,EP 38,7/17/2018,SUB
Single Ladies Senior,EP 15,7/16/2018,SUB
Hot Blood Dance Crew,EP 12,7/16/2018,SUB
Miss Hammurabi,EP 16,7/16/2018,SUB
The Coming Through,EP 4,7/16/2018,RAW
Bakumatsu Gurume Bushimeshi- 2,EP 7,7/16/2018,SUB
Sketch (Korean Drama),EP 16,7/14/2018,SUB
Mu Lan,EP 40,7/14/2018,SUB
Into the Sunlight,EP 16,7/14/2018,SUB
Nogarebana,EP 12,7/13/2018,RAW
Koi wa Ameagari no You ni - Pocket no Naka no Negaigoto,EP 4,7/12/2018,SUB
About Time,EP 16,7/10/2018,SUB
Deep In The Realm Of Conscience,EP 36,7/10/2018,SUB
Tokumei Keiji (Kakuho no Onna),EP 7,7/9/2018,SUB
Kodoku no Gurume Season 7 (Solitary Gourmet Season 7),EP 12,7/9/2018,SUB
Life on Mars,EP 8.5,7/7/2018,RAW
Secret Mother,EP 16,7/7/2018,SUB
The Legend of Jade Sword,EP 65,7/7/2018,RAW
The Bronze Teeth 4,EP 42,7/7/2018,RAW
Rikuou,EP 10,7/6/2018,SUB
What the Duck The Series,EP 20,7/2/2018,SUB
The Advisors Alliance 2,EP 44,7/2/2018,SUB
Lawless Lawyer,EP 16,7/1/2018,SUB
The Bronze Teeth3,EP 40,6/30/2018,RAW
The Bronze Teeth 2,EP 43,6/30/2018,RAW
Koe Girl,EP 10,6/30/2018,SUB
Oh- My Emperor,EP 42,6/30/2018,SUB
The Bronze Teeth 1,EP 40,6/29/2018,RAW
Kenji Miyazawa-s Table (Miyazawa Kenji no Shokutaku ),EP 5,6/29/2018,RAW
Aino Kekkon Shodanjo,EP 6,6/29/2018,SUB
Rich Man,EP 16,6/28/2018,SUB
The Vigilantes In Masks,EP 30,6/28/2018,SUB
Drama Stage- Anthology,EP 1,6/28/2018,SUB
Miss Sherlock,EP 8,6/27/2018,SUB
Black Pean,EP 10,6/26/2018,SUB
Talking Bones,EP 36,6/26/2018,RAW
Chihayafuru- Tsunagu,EP 5,6/25/2018,SUB
Black Revenge,EP 10,6/25/2018,SUB
Miss Devil,EP 10,6/25/2018,SUB
Uwasa no Onna (Woman of Rumor),EP 10,6/25/2018,RAW
 Blind Date Cafe,EP 13,6/24/2018,RAW
 Flying Tiger,EP 30,6/23/2018,SUB
Miyamoto kara Kimi e (From Miyamoto To You),EP 10,6/23/2018,RAW
Myubu,EP 10,6/23/2018,RAW
Rental Kyuuseishu,EP 10,6/23/2018,SUB
Incisive Great Teacher,EP 44,6/21/2018,RAW
Cao Cao,EP 41,6/21/2018,SUB
Heroic Legend,EP 35,6/21/2018,RAW
Signal- Long-Term Unsolved Case Investigation Team,EP 10,6/20/2018,SUB
MoonShine And valentine,EP 25,6/20/2018,SUB
Trace of the Hand,EP 17,6/20/2018,SUB
Secret Queen Makers,EP 7,6/20/2018,SUB
Keishichou Sousa Ikkachou S3,EP 10,6/19/2018,RAW
Hero-s Dream,EP 46,6/19/2018,RAW
When We Were Young,EP 32,6/19/2018,SUB
Xue Dingshan,EP 40,6/19/2018,RAW
The Way We Were (China Drama),EP 50,6/18/2018,SUB
Seigi no Se,EP 10,6/18/2018,SUB
Nothing To Declare,EP 20,6/18/2018,RAW
Secrets of Three Kingdoms,EP 54,6/18/2018,SUB
Frontier of Love,EP 54,6/18/2018,RAW
The Confidence Man JP,EP 10,6/17/2018,SUB
Love-s Lies (2018),EP 44,6/16/2018,SUB
Headhunter,EP 8,6/16/2018,RAW
Suits 2018,EP 16,6/14/2018,SUB
Three Kingdoms,EP 95,6/14/2018,SUB
Meet Me - 1006,EP 26,6/12/2018,SUB
Bye Bye  Blackbird,EP 6,6/11/2018,RAW
Five,EP 8,6/11/2018,SUB
Love Rerun,EP 10,6/10/2018,SUB
Faceoff,EP 42,6/9/2018,SUB
Yake ni Ben no Tatsu Bengoshi ga Gakkou de Hoeru,EP 6,6/9/2018,RAW
Ghetto Justice 2,EP 21,6/9/2018,SUB
The Qin Empire 3,EP 40,6/9/2018,RAW
The Qin Empire 2,EP 51,6/6/2018,SUB
Naguru Onna,EP 10,6/5/2018,SUB
Mistress,EP 12,6/5/2018,SUB
Angels in White (Itsumademo Shiroi Hane),EP 8,6/3/2018,SUB
A Journey Called Life,EP 20,6/1/2018,SUB
Tree in the River ,EP 20,6/1/2018,SUB
Enemies From the Past,EP 123,6/1/2018,SUB
Change 2008,EP 10,6/1/2018,SUB
Princess Maison,EP 8,6/1/2018,SUB
If You Are The One,EP 10,5/31/2018,SUB
The Painter of the Wind,EP 20,5/30/2018,SUB
Jao Sao Chapor Kit (---------------),EP 27,5/30/2018,SUB
Twilight Investigation,EP 20,5/29/2018,SUB
The Miracle We Met,EP 18,5/29/2018,SUB
To Love  To Heal,EP 40,5/29/2018,SUB
You-re My Destiny,EP 17,5/29/2018,SUB
Inochi,EP 31,5/29/2018,SUB
The Last One Standing,EP 22,5/28/2018,SUB
The Rippling Blossom,EP 20,5/28/2018,SUB
HDJ Beijing Love Story,EP 39,5/27/2018,RAW
Unfair,EP 11,5/27/2018,SUB
HDJ Beijing Love Story,EP 26,5/27/2018,SUB
Here to Heart,EP 46,5/27/2018,SUB
Bar.Bender,EP 20,5/26/2018,SUB
Under the Canopy of Love,EP 20,5/26/2018,SUB
Dangwon Office,EP 2,5/25/2018,RAW
Happy Sisters,EP 120,5/25/2018,SUB
Smashing on Your Back,EP 50,5/24/2018,RAW
A Million Treasures,EP 25,5/24/2018,SUB
Partner In Darkness (Yami no Bansosha S02),EP 5,5/23/2018,SUB
Mob Psycho 100 (Mobu Saiko 100),EP 12,5/23/2018,SUB
Dicey Business,EP 35,5/23/2018,SUB
Daddy Cool,EP 35,5/23/2018,SUB
My Loser Husband (Uchi no Otto wa Shigoto ga Dekinai ),EP 10,5/23/2018,SUB
Something in the Rain,EP 16,5/22/2018,SUB
Fantasy.Hotel,EP 20,5/22/2018,SUB
The Gentle Crackdown,EP 20,5/22/2018,SUB
Partners in Crime S2,EP 6,5/20/2018,SUB
Partners in Crime S1,EP 6,5/20/2018,SUB
War And Beauty,EP 30,5/20/2018,SUB
My Husband Oh Jak Doo,EP 24,5/19/2018,SUB
Fukuyadou Honpo- Kyoto Love Story,EP 12,5/19/2018,SUB
Tokyo Joshi Zukan,EP 11,5/19/2018,SUB
The Great Adventurer Wesley S3  Mind Port,EP 12,5/19/2018,RAW
The Great Adventurer Wesley S2  Bleeding Blue,EP 12,5/19/2018,RAW
Sudden,EP 20,5/19/2018,SUB
Stealing Seconds 2018,EP 20,5/17/2018,SUB
Oh My General,EP 60,5/17/2018,SUB
Switch- Change the World,EP 32,5/17/2018,SUB
My Mister,EP 16,5/17/2018,SUB
The Liar,EP 16,5/16/2018,SUB
A Poem a Day,EP 16,5/15/2018,SUB
Beautiful Connection,EP 20,5/15/2018,SUB
Frankenstein-s Love,EP 10,5/15/2018,SUB
Umoreru,EP 1,5/14/2018,SUB
Persona,EP 20,5/14/2018,SUB
Code- M Code Name Mirage,EP 9,5/14/2018,RAW
Code- M Code Name Mirage,EP 7,5/14/2018,SUB
AI- Watashi to Kanojo to Jinkou Chinou,EP 2,5/14/2018,RAW
The Dancing Detective Dekadance,EP 12,5/14/2018,SUB
The Iron Lady,EP 35,5/13/2018,SUB
My Dear Boy,EP 20,5/12/2018,SUB
The Truth Seekers,EP 23,5/12/2018,SUB
Good Morning Call - Our Campus Days,EP 3,5/11/2018,RAW
Color of Night,EP 50,5/11/2018,SUB
Live (Korean Drama),EP 18,5/11/2018,SUB
Let-s Hold Hands Tightly and Watch The Sunset,EP 32,5/10/2018,SUB
The Golden Path,EP 30,5/9/2018,SUB
Re Mind,EP 12,5/8/2018,SUB
You Drive Me Crazy-,EP 4,5/8/2018,SUB
Shiori to Shimiko no Kaiki Jikenbo,EP 13,5/7/2018,SUB
The Truth (Singapore),EP 20,5/7/2018,SUB
Grand Prince,EP 20,5/6/2018,SUB
Hitotsu Yane no Shita 2,EP 12,5/6/2018,SUB
Good Witch,EP 20,5/5/2018,SUB
Hate To Love You,EP 120,5/4/2018,SUB
Oh  My Dad--,EP 11,5/3/2018,SUB
Potato Star,EP 120,5/3/2018,SUB
Life As a Girl (Joshi teki Seikatsu ),EP 4,5/2/2018,SUB
Great Expectations (CH),EP 56,5/2/2018,RAW
PU-PU-PU (Part timers / Down and out),EP 11,5/1/2018,SUB
Shinjuku Seven,EP 11,5/1/2018,SUB
Untouchable Lovers,EP 52,5/1/2018,SUB
Exit (Korean Drama),EP 4,5/1/2018,SUB
The Great Seducer,EP 32,5/1/2018,SUB
Warotenka,EP 151,4/30/2018,RAW
Shokubutsu Danshi Veranda Pilot,EP 4,4/30/2018,RAW
Against the Tide,EP 23,4/30/2018,SUB
Innocent Days,EP 6,4/29/2018,SUB
Iron Ladies,EP 14,4/29/2018,SUB
Old Boy 2018,EP 45,4/28/2018,SUB
We Are In Love- Season 3,EP 14,4/27/2018,SUB
Who Killed Daigoro Tokuyama (Tokuyama Daigoro wo Dare ga Koroshita ka),EP 12,4/27/2018,SUB
Watashi ni xx shinasai,EP 4,4/27/2018,SUB
Kakegurui,EP 10,4/27/2018,SUB
Aibou Season 12,EP 19,4/27/2018,SUB
Children of a Lesser God,EP 16,4/25/2018,SUB
Backflow,EP 119,4/25/2018,RAW
Should We Kiss First,EP 40,4/24/2018,SUB
That Man Oh Soo,EP 16,4/24/2018,SUB
Good Morning Call Season 2,EP 10,4/21/2018,SUB
Ultraman Ginga,EP 12,4/21/2018,SUB
The Deer and the Cauldron,EP 50,4/20/2018,SUB
Tokyo Vampire Hotel,EP 10,4/20/2018,SUB
Threesome (2018) ,EP 18,4/19/2018,SUB
Mystery Queen (Season 2),EP 16,4/19/2018,SUB
I can-t Hug You,EP 32,4/18/2018,SUB
Denei Shojo- Video Girl Ai,EP 12,4/17/2018,SUB
Eulachacha Waikiki,EP 20,4/17/2018,SUB
Only Side by Side with You,EP 40,4/16/2018,SUB
Shougeki Gouraigan,EP 13,4/15/2018,SUB
Apple Colada,EP 30,4/15/2018,SUB
Kunoichi Ninpocho Hotarubi,EP 1,4/14/2018,RAW
Tsui no Sumika,EP 2,4/13/2018,SUB
Special Rescue Exceedraft,EP 7,4/13/2018,SUB
See You in Time,EP 16,4/12/2018,SUB
Shizuka Obaachan ni Omakase,EP 2,4/11/2018,RAW
Saigo no Bangohan,EP 12,4/11/2018,RAW
Koisuru Nikutabe Joshi,EP 2,4/11/2018,RAW
Heisei monogatari,EP 2,4/11/2018,RAW
The Great Adventurer Wesley  Fragment Man,EP 12,4/11/2018,RAW
The Great Adventurer Wesley Fragment Man,EP 1,4/10/2018,RAW
The Flame-s Daughter,EP 52,4/8/2018,SUB
Seirei no Moribito Season 3,EP 9,4/7/2018,SUB
Love In Memory 2 - Father-s Note,EP 8,4/6/2018,RAW
HIStory2- Boundary Crossing,EP 8,4/6/2018,SUB
 Birth Of A Hero,EP 20,4/6/2018,SUB
The Kitazawas- We Mind Our Own Business (Momikeshite Fuyu),EP 7,4/4/2018,SUB
Oh My Girl Miracle Expedition,EP 9,4/3/2018,SUB
BG- Personal Bodyguard,EP 9,4/2/2018,SUB
I Am Not an Elite,EP 40,4/2/2018,SUB
Drama Stage,EP 6,4/1/2018,SUB
Unbeatable Banzuke,EP 65,3/31/2018,SUB
The Kitazawas- We Mind Our Own Business (Momikeshite Fuyu),EP 10,3/30/2018,RAW
Your Highness (2017),EP 20,3/30/2018,SUB
Oh My Jump- Shonen Jump Saves Earth,EP 11,3/29/2018,SUB
Inochi Urimasu (Life for Sale),EP 10,3/29/2018,RAW
Konna tokoro ni unmei no hito,EP 5,3/29/2018,RAW
Road To Eden,EP 8,3/29/2018,RAW
Lion Pride,EP 16,3/28/2018,SUB
Two Yoo Project - Sugar Man 2,EP 9,3/28/2018,RAW
Annatsuraru (Unnatural),EP 10,3/27/2018,SUB
Princess Jellyfish (Kuragehime ),EP 10,3/25/2018,SUB
Day and Night 2017,EP 32,3/24/2018,SUB
Toho Nana Bun,EP 6,3/24/2018,SUB
The Legend Of Chinese Zodiac,EP 34,3/24/2018,RAW
Anone,EP 10,3/24/2018,SUB
Misty (Korean Drama),EP 16,3/24/2018,SUB
Repeat- 10 Months Which Changes Fate,EP 10,3/22/2018,SUB
Return,EP 34,3/22/2018,SUB
Caroling Christmas no Kiseki,EP 8,3/20/2018,SUB
Cross (Korean Drama),EP 16,3/20/2018,SUB
Radio Romance,EP 16,3/20/2018,SUB
Colourful Bone,EP 54,3/19/2018,SUB
Okaasan Musume,EP 8,3/18/2018,SUB
Man Who Sets the Table,EP 50,3/18/2018,SUB
Mata Kite Machiko no  Koi wa Mou Takusan yo,EP 10,3/18/2018,RAW
The Best Moment To Quit Your Job,EP 8,3/18/2018,SUB
Code Blue S3,EP 10,3/17/2018,SUB
Akka,EP 5,3/16/2018,SUB
Behind the White Tower,EP 40,3/15/2018,SUB
Aibou Season 16,EP 20,3/15/2018,RAW
The Wife-s Lies,EP 52,3/15/2018,SUB
Mother (Korean Drama),EP 16,3/15/2018,SUB
Sotus S- The Series,EP 13,3/14/2018,SUB
Byplayers- Season 2,EP 5,3/13/2018,RAW
Todome no Kissu (Kiss that Kills),EP 10,3/13/2018,SUB
You-re My Pet (Kimi wa Petto),EP 16,3/13/2018,SUB
The Depths of the Shambhala,EP 4,3/13/2018,RAW
Ashita no Kimi ga Motto Suki (I like You Tomorrow More),EP 7,3/12/2018,RAW
Prison Princesses (Kangoku no Ohimesama),EP 10,3/12/2018,SUB
Iryuu Sousa S4,EP 9,3/11/2018,SUB
My Golden Life,EP 52,3/11/2018,SUB
Nozaki Shuhei Auditor of Bank (Kansayaku Nozaki Shuhei),EP 8,3/10/2018,RAW
Sabori Man Kantarou,EP 12,3/10/2018,SUB
Ultraman Zero- The Chronicle,EP 26,3/9/2018,SUB
Massage Detective Joe,EP 12,3/9/2018,SUB
Negotiator (2018),EP 41,3/9/2018,SUB
Bad Guys- Age of Evil,EP 16,3/7/2018,SUB
Sound of the Desert,EP 35,3/6/2018,SUB
Ultraseven X,EP 12,3/5/2018,SUB
Infernal Affairs (2016),EP 30,3/5/2018,SUB
Memories of Love,EP 30,3/5/2018,SUB
A Korean Odyssey,EP 20,3/4/2018,SUB
Ultraman Neos,EP 12,3/4/2018,SUB
Neo Ultra Q,EP 12,3/4/2018,SUB
Watch Out Boss,EP 15,3/3/2018,SUB
Infernal Affairs (2016),EP 18,3/2/2018,RAW
Koshiji Fubuki Monogatari (Koshiji Fubuki Story),EP 37,3/2/2018,RAW
Koi wo Nannen Yasundemasu ka,EP 11,3/2/2018,RAW
Koi wo Nannen Yasundemasu ka,EP 10,3/1/2018,SUB
109 Strange Things,EP 6,3/1/2018,SUB
Die Now,EP 20,3/1/2018,SUB
Die Now,EP 21,3/1/2018,RAW
2Moons - The Series S1,EP 12,2/28/2018,SUB
FLASHBACK,EP 4,2/27/2018,SUB
Imperfect,EP 1,2/26/2018,SUB
Wakako Zake Season 3 ,EP 12,2/26/2018,RAW
A Bite of China -,EP 8,2/26/2018,RAW
Will You Marry Me (Waen Dok Mai),EP 26,2/25/2018,SUB
History Web Series Season 2 - Right Or Wrong,EP 8,2/23/2018,SUB
Detective Dee,EP 66,2/23/2018,RAW
In the Name of People,EP 55,2/23/2018,SUB
MASKMEN,EP 5,2/22/2018,RAW
Blanket Cats,EP 3,2/21/2018,SUB
Around 30 Chan (Arasa chan Mushuusei),EP 12,2/21/2018,RAW
Short (Korean Drama),EP 4,2/19/2018,SUB
Cheol Soo and O2,EP 2,2/15/2018,RAW
Magic School,EP 4,2/14/2018,SUB
The Forgotten Valley,EP 20,2/13/2018,SUB
Come With Me,EP 18,2/13/2018,SUB
Butterfly Lovers 2017,EP 13,2/13/2018,SUB
KochiKame Drama,EP 7,2/11/2018,RAW
Nirvana in Fire 2,EP 50,2/10/2018,SUB
Heaven-s Retribution,EP 30,2/9/2018,RAW
My Man-s Secret,EP 100,2/9/2018,SUB
TV Novel - Dal Soon-s Spring,EP 129,2/8/2018,SUB
Mr. Right,EP 45,2/8/2018,SUB
Black Knight,EP 20,2/8/2018,SUB
Space Sentai Kyuranger,EP 48,2/6/2018,SUB
I am you,EP 2,2/6/2018,RAW
Longing Heart,EP 10,2/6/2018,SUB
Peace Hotel,EP 20,2/4/2018,RAW
Drama Stage,EP 10,2/3/2018,RAW
Bravo My Life,EP 28,2/3/2018,SUB
Money Flower,EP 24,2/3/2018,SUB
Second Chance,EP 13,2/2/2018,SUB
Onna Joshu Naotora,EP 50,2/2/2018,SUB
Where the Lost Ones Go,EP 24,1/31/2018,SUB
Home Sweet Home (Taiwanese Drama),EP 34,1/31/2018,SUB
Just Between Lovers,EP 16,1/30/2018,SUB
Simple Man,EP 17,1/30/2018,SUB
Doubtful Victory,EP 40,1/30/2018,SUB
Part Time Idol,EP 5,1/29/2018,SUB
Healing Master,EP 46,1/29/2018,SUB
The King of Romance,EP 17,1/29/2018,SUB
